1||Only Florida's Story Will be Told||
2||Only Marking Time||
3|42|We've Come to Privatize|20673_148035|
4|34|Looked for You|20673_242910|242910
5||Music is the Language||
6|36|Lickin' My Jelly Knife|20673_245869|245869
7||Tickets To by Two||
8|24|Bad Cholesterol|20673_247782|247782
9|33|Love is Gonna Be Our Dance|20673_435394|20673_435394
10|39|Nothin' Doin'|20673_246662|246662
11||Red Wing Philosophy||
12|35|Morning for Martha|20673_374889|374889
13||Little Piece of Heaven||
14|25|Spirit Running Through|20673_200030|200030
