0|David Roth, with Dan Gribbin opening|Jan 15 2016| 7:30PM|56 N. Halifax  (Unitarian Universalist Congregation)|Ormond Beach|Florida|32176|UNITED STATES|http://www.uuormond.net|386-677-6172|$10 for adults|children free|
1|Lake County Folk Festival|Oct 11 2015|10:00AM|Ferran (Lakeside) Park & Downtown Eustis|Eustis|Florida|32727|UNITED STATES|http://lakecountyfolkfest.org|352.408.9800|no charge||
2|Lake County Folk Festival|Oct 10 2015|10:00AM|Ferran (Lakeside) Park & Downtown Eustis|Eustis|Florida|32727|UNITED STATES|http://lakecountyfolkfest.org|352-408-9800|no charge||
3|Open Mike at Artisan Gardens|Oct  1 2015| 7:00PM|302 S. Riverside Dr., New Smyrna Beach|New Smyrna Beach|Florida|32168|UNITED STATES|NONE|386-690-3534|||
4|Mia dona Market (Restaurant)|Jul 10 2015| 6:00PM|203 S Yonge St, Ormond Beach, FL|Ormond Beach|Florida|32174|UNITED STATES|http://miadonamarket.com|386-290-9464|||
5|Osteen Diner|Jan 24 2015| 6:00PM|195 S State Road 415|Osteen|Florida|32764|UNITED STATES|http://www.facebook.com/pages/Osteen-Diner/372518580151|(407) 323-6469|||
6|Barberville Fall Jamboree|Nov  1 2014|12:30PM|Barberville Pioneer Settlement for the Creative Arts|Barberville|Florida|32105|UNITED STATES|http://folkfiddle.com/barber.htm||See their webpage for admission||
7|Olivia's Coffeehouse in Eustis|Sep 25 2014| 7:00PM|108 N. Bay St. (downtown)|Eustis|Florida|32736|UNITED STATES|http://www.oliviascoffeehouse.com|352-357-1887|||
8|Pete Seeger Tribute, Unitarian Universalist Society|Sep  7 2014|10:30AM|56 N. Halifax Dr.|Ormond Beach|Florida|32176|UNITED STATES|http://www.uuormond.net|386-677-6172|||
9|Sunday Morning UU Service|Aug 31 2014|10:30AM|56 N. Halifax Dr.|Ormond Beach|Florida|32176|UNITED STATES|http://www.uuormond.net|386.677.6172|||
10|Barberville Spring Folic|Mar 29 2014|11:00AM|Barberville Pioneer Settlement|Barberville|Florida|32105|UNITED STATES|http://folkfiddle.com/barber.htm|386-749-2959|$8 adults; $5 kids 6-12||
11|Unitarian Universalist Society (Ormond Beach)|Jan 22 2014| 7:00PM|56 N. Halifax Dr.|Ormond Beach|Florida|32176|UNITED STATES|http://www.uuormond.net|386-677-6172|$10||
12|Halifax River Audubon, Sica Hall|Dec 16 2013| 7:00PM|1065 Daytona Avenue|Holly Hill|Florida|32117|UNITED STATES|http://www.halifaxriveras.org||||
13|Unitarian Universalist Fellowship, Marion Country|Nov 24 2013|10:30PM|7280 SE 135 Street|Summerfield|Florida||UNITED STATES|http://www.uufmc.org/||||
14|Florida Folk Festival|May 24 2013|12:30AM|Stephen Foster Memorial State Park|White Springs|Florida|32096|UNITED STATES|http://www.floridafolkfestival.com||||
15|Osteen Diner|May 18 2013| 6:00PM|195 S State Road 415|Osteen|Florida|32764|UNITED STATES|http://www.facebook.com/pages/Osteen-Diner/372518580151|(407) 323-6469|||
16|CD Release Party|Mar 22 2013| 7:00PM|516 Sandy Oaks Blvd.|Ormond Beach|Florida|32174|UNITED STATES|NONE||||
17|Will McLean Music Festival|Mar 11 2012| 4:30PM|Sertoma Youth Ranch|Brooksville|Florida|34602|UNITED STATES|http://www.willmclean.com||||
18|Will McLean Music Festival|Mar 10 2012|11:30AM|Sertoma Youth Ranch|Brooksville|Florida|34602|UNITED STATES|http://www.willmclean.com||||
19|Will McLean Music Festival|Mar  9 2012| 2:30PM|Sertoma Youth Ranch|Brooksville|Florida|34602|UNITED STATES|http://www.willmclean.com||||
20|Riverfest at Rockefeller Gardens|Nov 19 2011| 5:40PM|25 Riverside Drive|Ormond Beach|Florida|32176|UNITED STATES|http://www.ormondriverfest.com/Index.html||||
21|Barberville Fall Jamboree|Nov  5 2011|12:30PM|US 17 at Fla. Rt. 40|Barberville Pioneer Settlement|Florida|32105|UNITED STATES|http://www.folkfiddle.com/barber.htm|386-749-2959|$5 adults;  $4 kids 6-12; free f||
22|Lake County Folk Festival|Oct  9 2011| 1:30PM|Olivia's Coffee House|Eustis|Florida||UNITED STATES|http://www.oliviascoffeehouse.com/|352-357-1887|||
23|Lake County Folk Festival|Oct  8 2011| 4:30PM|Wine Cellars Uncorked|Eustis|Florida|32726|UNITED STATES|http://winecellars-uncorked.com/|352-357-5552 |||
24|Fingerstyle Guitar Concert|Jul 10 2011| 2:00PM|Winter Park Library|Winter Park|Florida|32789|UNITED STATES|http://www.wppl.org|407-623-3300|||
25|Florida Folk Festival|May 27 2011|11:00AM|Stephen Foster Memorial State Park|White Springs|Florida||UNITED STATES|http://www.floridafolkfestival.com||||
26|Unitarian Universalist Society of Daytona Beach|May 14 2011| 6:30PM|56 N. Halifax|Ormond Beach|Florida|32176|UNITED STATES|http://www.uuormond.net|(386) 677-6172|||
27|Barberville Spring Frolic|Apr 17 2011|11:30AM|Barberville Pioneer Settlement|Barberville|Florida|32105|UNITED STATES|http://folkfiddle.com/barber.htm|386-749-2959|$6 per day - $10 for weekend|kids free|
28|Barberville Spring Frolic|Apr 16 2011|10:30PM|Barberville Pioneer Settlement|Barberville|Florida| |UNITED STATES|http://folkfiddle.com/barber.htm|386-749-2959|$6 per day - $10 for weekend|kids free|
29|Will McLean Festival|Mar 13 2011|10:30AM|Sertoma Youth Ranch|Brooksville|Florida|34602|UNITED STATES|http://www.willmclean.com||||
30|Will McLean Festival|Mar 12 2011|10:30AM|Sertoma Youth Ranch|Brooksville|Florida|34602|UNITED STATES|http://www.willmclean.com||||
31|Unitarian Universalist Fellowship of Marion County|Nov 28 2010|10:30AM|7280 SE 135th Street|Summerfield|Florida|34491||http://www.uufmc.org|352-245-7944|||
32|Ormond Riverfest|Nov 21 2010| 4:25PM|25 Riverside Drive|Ormond Beach|Florida|32176||http://www.ormondriverfest.com||||
33|Riverfest at Rockefeller Gardens|Nov 20 2010|10:00AM|25 Riverside Drive|Ormond Beach|Florida|32176||http://www.ormondriverfest.com/Index.html||||
34|First Unitarian Church of Youngstown Ohio|Oct 16 2010| 7:00PM|1105 Elm St.|Youngstown|Ohio|44505||http://www.uuyo.org|330-746-3067|||
35|Ferrum College|Oct  7 2010| 7:00PM|Panther's Den|Ferrum|Virginia|||NONE||||
36|Ormond Beach Farmer's Market|Apr  1 2010|10:00AM|Riverside Drive|Ormond Beach|Florida|32176||http://www.ormondbeachfarmersmarket.com||||
37|Olivia's Coffeehouse & Bistro|Feb 25 2010| 7:00PM|113 N. Bay St.|Eustis|Florida|||http://www.oliviascoffeehouse.com|352-357-1887|||
38|Breakers Oceanfront Park|Feb 12 2010| 6:00PM|Main St. at Ocean Ave.|Daytona Beach|Florida|||NONE|386-671-3569|||
39|Lake Eustis Folk|Jan 16 2010| 7:00PM|Trout Lake Nature Center|Eustis|Florida|32736||http://www.troutlakenature.org|352-357-7536|$7||
40|Riverfest at Rockefeller Gardens|Nov 22 2009| 2:00PM|25 Riverside Drive|Ormond Beach|Florida|32176||http://www.ormondriverfest.com/Index.html||||
41|Olivia's Coffeehouse|Sep 26 2009| 7:00PM|113 N. Bay St.|Eustis|Florida|32726||http://www.oliviascoffeehouse.com|352-357-1887|||
42|Java Jungle Coffee Bar|Jun 20 2009| 4:00PM|4606 Clyde Morris Blvd.|Port Orange|Florida|32129||http://www.javajunglellc.com|386-760-8969|||
43|The Music Shack|Jun 19 2009| 7:00PM|1455 Semoran Blvd.|Casselberry|Florida|32707||http://www.musicshack.biz|407-678-1765|Suggested donation is $7.||
44|Concert for Mother Earth (at Ormond UU Society)|Apr 24 2009| 7:00PM|56 N. Halifax|Ormond Beach|Florida|||http://www.uuormond.org||$10||
45|Will McLean Festival|Apr  5 2009| 1:30PM|Withlacoochee Camp Ground|Inglis|Florida|||http://willmclean.com/festival/index.shtml||||
46|Unitarian Universalist Concert:  Dan opens for Jim Scott|Mar 28 2009| 7:00PM|56 N. Halifax Dr.|Ormond Beach|Florida|32176||http://www.uuormond.org|386-677-6172|$10||
47|The Daily Grind|Mar 20 2009| 6:30PM|1500 Beville Rd.|Daytona Beach|Florida|32114||http:// |386-238-1044| | |
48|Friends of Florida Folk FOFF Fest 2009|Jan 31 2009| 1:30PM|Eustis Women's Club|Eustis|Florida|||http://www.foff.org|352-253-6448|||
49|Cuvee Oceanside Wine and Tapas Restaurant|Jan 25 2009|11:30AM|188 E. Granada Blvd.|Ormond Beach|Florida|32176||http://www.cuveeoceanside.com|386-615-4727|||
50|Cuvee Oceanside Wine and Tapas Restaurant|Jan 20 2009| 7:00PM|188 E. Granada Blvd.|Ormond Beach|Florida|32176|| http://www.cuveeoceanside.com|386-615-4727 | | |
51|Langford Park|Dec 14 2008| 2:30PM|Langford Park|Orlando|Florida|32803||http://cffolk.org/langford_park/langford_park.htm||||
52|Angell & Phelps Cafe|Dec  5 2008| 7:30PM|156 S. Beach St.|Daytona Beach|Florida|32114||http://www.angellandphelpscafe.com|386-257-2677|||
53|Hollywood Cantina|Nov 28 2008| 7:00PM|116 N. Beach St.|Daytona Beach|Florida|32114||http:// |386-255-7827| | |
54|Java Jungle Coffee Bar|Nov 22 2008| 7:00PM|4606 Clyde Morris Blvd.|Port Orange|Florida|32129||http://www.javajunglellc.com|386-760-8969| | |
55|Brooklyn Ice Caffe|Oct 31 2008| 7:00PM|4649 S. Clyde Morris Blvd.|Port Orange|Florida|32129||http:// |386-322-3306| | |
56|Java Jungle|Oct  4 2008| 7:00PM|4606 Clyde Morris Blvd.|Port Orange|Florida|32129||http://www.javajunglellc.com|386-760-8969| | |
57|Brooklyn Ice Caffe|Oct  3 2008| 7:30PM|4649 S. Clyde Morris Blvd.|Port Orange|Florida|32129||http:// |386-322-3306| | |
58|Brooklyn Ice Cafe|Sep 12 2008| 7:30PM|4649 S Clyde Morris Blvd|Port Orange|Florida|32129||http:// |386-322-3306| | |
59|Java Jungle|Aug 30 2008| 7:00PM|4606 Clyde Morris Blvd.|Port Orange|Florida|32129||http://www.javajunglellc.com|386-760-8969|||
60|Lake Helen Coffee & Tea|Jul 25 2008| 6:00PM|360 Lakeview Ave.|Lake Helen|Florida|32744||http:// |386-951-4486| | |
61|Sorrento's Pizza & Deli|Jul 23 2008| 6:00PM|4050 S. Ridgewood Ave.|Port Orange|Florida| ||http:// |386-761-2181| | |
62|Java Jungle Coffee Bar|Jul 12 2008| 7:00PM|4606 Clyde Morris Blvd.|Port Orange|Florida|32129||http://www.javajunglellc.com|386-760-8969|||
63|Sorrento's Pizza and Deli|Jul  2 2008| 6:00PM|4050 S. Ridgewood|Port Orange|Florida|||NONE|386-761-2181|||
64|Hot Spot Coffee Shoppe|Jun 28 2008| 7:00PM|1216 S. Ridgewood Ave.|Daytona Beach|Florida|32114||http://www.hotspotcoffeeshoppe.com|386-236-0518|$3||
65|Sorrento's Pizza and Deli|May 21 2008| 6:00PM|4050 S. Ridgewood|Port Orange|Florida| ||http:// |386-761-2181| | |
66|Sorrento's Pizza and Deli|May  7 2008| 6:00PM|4050 S. Ridgewood|Port Orange|Florida|||NONE|386-761-2181|||
67|Sorrento's Pizza & Deli|Apr 23 2008| 6:00PM|4050 S. Ridgewood|Port Orange|Florida|||NONE|386-761-2181|||
68|Will McLean Folk Festival|Apr  6 2008|12:00PM|West of Dunnellon on Rt. 40|Dunnellon|Florida|||http://www.willmclean.com||||
69|Will McLean Folk Festival|Apr  4 2008| 1:00PM|Withlachoochee Campground|Dunnellon|Florida|||http://www.willmclean.com||||
70|Private Art Show|Feb 24 2008| 3:00PM|109 Albatross Way|Daytona Beach|Florida|||NONE|386-304-1965|||
71|Open Mike at The Book Store in Ormond|Feb  2 2008| 6:30PM|410 S. Nova Rd.|Ormond Beach|Florida|||NONE|386-615-8320|||
72|The Book Store in Ormond|Jan 30 2008|11:00AM|410 S. Nova Rd.|Ormond Beach|Florida|||NONE|386-615-8320|||
73|Lake Eustis Art Show|Jan 26 2008| 3:00PM|Ferran Park, on the lakefront in downtown Eustis|Eustis|Florida|||NONE||||
74|Sorrento Pizza and Deli|Jan 19 2008| 6:00PM|4050 S. Ridgewood|Port Orange|Florida|||NONE|386-761-2181|||
75|Open Mike at The Book Store in Ormond|Jan  5 2008| 7:00PM|410 S. Nova Rd.|Ormond Beach|Florida|||NONE|386-615-8320|||
76|Leu Gardens|Dec 30 2007| 2:30PM|1920 N. Forest Ave.|Orlando|Florida|32803||http://www.cffolk.org/leu_gardens/photos/david_lamotte/davidLamotte_flyer_700.jpg|407-679-6426|$12 donation||
77|SSA Christmas Program|Dec 18 2007| 7:00PM|Bailey's Bridge Garden Chapel|Ormond Beach|Florida|||NONE||||
