0|Put on a Smile|20673_738624|738624|Dan Gribbin|Dan Gribbin|Alex Budzilek|Dan Gribbin|Dan Gribbin|Anhinga Harmonics Music|Here is a comic look at a person who is relentless in trying to smile in the face of adversity.|The complexity of modern life makes it almost inevitable that, all too frequently, our plans are going to be dealt setbacks.  Taking it all too seriously can be devastating.  This song offers a comic opportunity to face the inevitable adversity with a smile.  Relentless optimism, as we might call it, could be the key to a happier life.|This is what comes of endeavoring to write and upbeat, uptempo song about the ways that life can knock us off our feet.|4:24|Folk-Americana|Folk-Contemporary|Medium Slow (91 - 110)|Male Vocal|Laugh, Smile|Encouragement|Cheerful|Sociable|English|2000 and later
1|Love's the Gift We Bring|20673_735336|735336|Dan Gribbin|Dan Gribbin|Alex Budzilek|Dan Gribbin||Anhinga Harmonics Music|Expressing kindness toward others is much like harmonizing in song.|Singing together in harmony and looking for opportunities to express our kindness toward others amount to much the same thing.|The goal was to develop a song that could be shared with those who are happy to be reminded that singing together in harmony and looking for opportunities to express our kindness toward others amount to much the same thing.|3:20|Folk-Americana|Folk-Religious|Medium Slow (91 - 110)|Male Vocal|Joy|Spirituality|Welcoming|Composed|English|2000 and later
2|Florida in My Soul|20673_721298|721298|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|A wily old swamp rat let's us know what he loves about his native state of Florida.|There are plenty of things to be skeptical about and to fear in Florida.  But for those who can embrace the whole experience, the state offers real delight.  That seems to be the mood of the old swamp rat who's regaling us with the delights of Florida in this song.|Hanging around the swamps taking pictures of shore birds has put me in contact with some interesting characters.  I sort of give voice to one of them in this song.|4:45|Folk-Americana|Country-Americana|Medium Slow (91 - 110)|Male Vocal|Reptiles|Masculinity|Welcoming|Cheerful|English|2000 and laterWillie Nelson|
3|Our Wild Florida|20673_626838_2|626838|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin| |A wish for the grandson to be there to learn about Nature.|A grandfather gives a sense of what he appreciates in Nature as he expresses his longing to have his grandson with him to learn about these things.|Having a grandson can heighten a person's sense of wanting to preserve Nature for that child to appreciate and enjoy.|3:39|Folk-Americana|Folk-General|Slow (71 - 90)|Male Vocal|Spirituality||Composed|Gracious|English|2000 and laterJames Taylor|Josh Groban|
4|A Friend Like You|20673_717170_1|717170|Daniel V. Gribbin|Daniel V. Gribbin| |Daniel V. Gribbin|Daniel V. Gribbin| |It's a song about the satisfaction of having a friend and being a friend.|A song dedicated to the proposition that friends look out for each other and pick each other up when times are difficult.|The song is dedicated to a friend of mine, a fellow performer.  Most of the friendly acts in the song are generic, designed to be fun.  But the undercurrent is that friends are there for each other.|3:28|Folk-Contemporary|Folk-General|Medium Slow (91 - 110)|Male Vocal|Friendship|Friend|Affable|Engaging|English|2000 and laterJames Taylor|
5|Pete Seeger in Paradise|20673_715989_1|715989|Daniel V. Gribbin|Daviel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin|Anghinga Harmonics Music|The song sums up what Pete Seeger fought for during his lifetime--justice and a break for the common man.|Pete Seeger always worked to mobilize people on behalf of social justice.  This song attempts to capture that spirit by picturing him in action, chopping wood to stoke the first in Hell to roast the chestnuts of those who created terrible problems for good people with their racism and their violence against workers.|When I learned of Pete Seeger's death in 2014, I watched a documentary about his life that begins with an interview during which Pete is chopping wood outside his home.  That got me started on this song which, I believe, captures Pete's combative spirit as he describes what he has fought for in his life.  The note of humor certainly is characteristic of Pete, as well.|3:58|Folk-Americana|Folk-General|Medium Slow (91 - 110)|Male Vocal|Justice|Will|||English|2000 and laterPete Seeger|
6|The Deadbeat|20673_721293|721293|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|A grifter plies his trade.  And you're the easy mark.|Ever been sweet-talked by a guy who just knows that you're a soft touch?  That's the speaker in this song, a fellow who can sniff out an easy mark at a distance of a country mile.|At the Lake County Folk Festival, we songwriters entertain ourselves before the stages upon on Sunday morning by vying for "Best Funny Song."  This song was the 2017 winner.|3:49|Folk-Americana|Folk-Contemporary|Slow (71 - 90)|Male Vocal|Comedy, Funny|Friend|Affable|Amiable|English|2000 and later
7|Florida's Child|20673_721294|721294|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|A puckish child's delight in nature is celebrated in this song.|The energy and imagination of a child at the beach can be inspirational to us all.  And the miracle of new life as baby turtles emerge from the egg and race for the ocean--that is one of the most exciting experiences anyone could have.|Someone very close to me delights in everything she experiences at the beach.|2:15|Folk-Americana|Unique-Children|Medium Slow (91 - 110)|Male Vocal|Joy|Imagination|Delighted|Enchanting|English|2000 and laterJames Taylor|
8|Writing the Florida Folk Song|20673_626837_1|626837|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin| |Fun about the dangers of life in Florida.|The song details all of the ways that a person can be done in by forces in the Florida environment.  It encourages the would-be songwriter to take advantage of these wonderful disasters.|Several of us write a comic song each year to share at the Lake County Folk Festival.  I wrote this one for the group itself, but they had me sing it on the main stage for the closing ceremonies.|4:13|Folk-Americana|Folk-Americana|Medium Slow (91 - 110)|Male Vocal|||Affable||English|2000 and laterKris Kristofferson|
9|Tea at the Negresco|20673_721297|721297|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|The speaker in the song is delighted by everything French, especially the scene along the Mediterranean at Nice.|It is said that the English first discovered the delights of walking along the oceanfront at Nice, and so the pavilion that runs along the Mediterranean is called the Promenade des Anglais.  At the western end of the Promenade is the Hotel Negresco, built by a wealthy Russian early in the 20th century.  And the delight at being there in Nice is celebrated in this song.|A friend of ours, when we mentioned that we had been to Nice, immediately expressed his delight in going for tea at the great hotel there along the oceanfront, the Negresco.  I returned a week later to our Friday night musical haunt with this song for our friend.|2:17|Folk-Americana|Folk-Contemporary|Medium Slow (91 - 110)|Male Vocal|City|Art, Sculpture|Cheerful|Sociable|English|2000 and later
10|One Sweet Song|20673_626839_2|626839|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin|Daniel Gribbin| |Music binds us together.|A celebration of the brotherhood of humankind that is symbolized by the sharing of our music.|The song was born out of speculation about what it would be like to be in a point in space at any given moment and to hear all the music that is being shared all over the world.|3:39|Folk-Americana|-|Medium Slow (91 - 110)|Male Vocal|Universe|World|Joyful|Welcoming|English|2000 and laterJames Taylor|Jack Johnson|
11|I'll Sing You Love|20673_716143_1|716143|Daniel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin|Daniel V. Gribbin| |Daniel V. Gribbin|The speaker in the song celebrates a relationship that endures even though it has been tested by difficult circumstances.|The speaker in the song celebrates a relationship that endures even though it has been tested by difficult circumstances.  The couple have clearly been faced with financial difficulties and periods of depression, or at least the blues.  The speaker emphasizes that singing through those times is possible--for both of them.|There is a line in the e. e. cummings poem "anyone lived in a pretty how town" that says that the main character "sang his didn't and danced his did."  I believe that line was in the back of my mind as I composed this love song in which the speaker says he will sing love to his lady (and she will reciprocate) when the need arises.|3:46|Folk-Americana|Folk-General|Medium Slow (91 - 110)|Male Vocal|Loving Marriage|Peace|Composed|Content|English|2000 and laterJames Taylor|
12|Florida Birds|20673_721296|721296|Daniel V. Gribbin|Daniel V. Gribbin|Alex Budzilek|Daniel V. Gribbin||Anhinga Harmonics|Imagine a birdwatcher who suddenly realizes that he's petrified in the presence of large shore birds.|The song plays upon the fears of a birdwatcher who, upon volunteering for the annual bird count, discovers that he's petrified at the idea of being alone out there with large birds eyeing him.  The tour de force listing the various types of birds that seem to be after him is the heart of the song.|As a wildlife photographer, I love to photograph shore birds.  But they can seem a bit intimidating, at times.  So I imagined a fellow who is not at all confident in the presence of large birds.|4:09|Folk-Americana|Blues-Modern|Medium Slow (91 - 110)|Male Vocal|Birds|Fear|Nervous||English|2000 and laterHarry Chapin|
